Keyword,Intent nguồn,Volume,KD,CPC,ICADO rank,ICADO page,Quyết định,Pillar,Cụm LSI / Search intent,Intent chuẩn hóa,Ưu tiên
quần lót chạy bộ nam,Informational,30,6,0.10000000149011612,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
quần đùi chạy bộ nam,Informational,30,3,0.07999999821186066,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
áo quần chạy bộ nam,Informational,30,7,0.10000000149011612,0,,Giữ,Tennis & Running,Chọn đồ nam,Comparison,P2
quần áo chạy bộ nữ,Informational,210,9,0.09000000357627869,0,,Giữ,Tennis & Running,Chọn đồ nữ,Comparison,P1
áo chạy bộ nữ,Informational,90,8,0.09000000357627869,0,,Giữ,Tennis & Running,Chọn đồ nữ,Comparison,P2
trang phục chạy bộ nữ,Informational,40,9,0.05000000074505806,0,,Giữ,Tennis & Running,Chọn đồ nữ,Comparison,P2
quần chạy bộ,Informational,720,9,0.07999999821186066,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,P1
áo khoác chạy bộ,Informational,210,15,0.07999999821186066,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,P1
áo running man,Informational,170,16,0.07000000029802322,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,P2
quần chạy bộ 2 lớp,Informational,90,9,0.11999999731779099,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,P2
quần đùi chạy bộ,Informational,90,9,0.05999999865889549,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Comparison,P2
quần running,Informational,30,12,0.07999999821186066,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,P2
short running,Informational,30,13,0,0,,Giữ,Tennis & Running,Kiến thức Tennis/Running hỗ trợ chọn đồ,Informational,P2
quần áo chạy bộ,Informational,390,10,0.09000000357627869,0,,Giữ,Tennis & Running,Mặc gì / hướng dẫn chọn đồ,Comparison,P1
quần áo chơi tennis,Informational,30,6,0,0,,Giữ,Tennis & Running,Mặc gì / hướng dẫn chọn đồ,Informational,P2
đồ tập yoga nữ,Informational,170,22,0.05999999865889549,0,,Giữ,Yoga & Pilates,Chọn đồ nữ,Informational,P2
quần tập yoga alibaba,Informational,30,21,0.07000000029802322,0,,Giữ,Yoga & Pilates,Kiến thức Yoga/Pilates hỗ trợ chọn đồ,Informational,P2
đồ tập yoga kín đáo,Informational,170,10,0.05000000074505806,0,,Giữ,Yoga & Pilates,Mặc gì / hướng dẫn chọn đồ,Informational,P2
đồ tập aerobic,Transactional,140,18,0.03999999910593033,0,,Giữ,Yoga & Pilates,Mặc gì / hướng dẫn chọn đồ,Commercial investigation,P2
bộ đồ tập aerobic,Informational,30,12,0,0,,Giữ,Yoga & Pilates,Mặc gì / hướng dẫn chọn đồ,Informational,P2
áo polo nam,Informational,22200,14,0.20000000298023224,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam,Informational,18100,64,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần short,Informational,5400,19,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lót nam,Informational,4400,27,0.10000000149011612,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam cao cấp,Informational,2900,57,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sịp nam,Informational,2400,27,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao nam,Informational,2400,14,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sooc nam,Informational,1900,22,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam đẹp,Informational,1900,47,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gió nam,Informational,1600,12,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác gió nam,Informational,1600,12,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo khoác nam đẹp 2021,Informational,1300,4,0.029999999329447746,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần thể thao nam,Informational,1300,15,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo bomber nam,Informational,1300,12,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần đùi nam cao cấp,Informational,1000,19,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
polo nam,Informational,880,16,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quan sot nam,Informational,880,15,0.029999999329447746,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần nỉ nam,Informational,880,11,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác bomber nam,Informational,880,9,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam hàng hiệu,Informational,880,53,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần gió nam,Informational,720,9,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lót nam chính hãng,Informational,720,12,0.14000000059604645,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần lửng nam,Informational,720,20,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần xì nam,Informational,720,28,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
thương hiệu áo khoác nam cao cấp,Informational,720,14,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo jacket nam,Informational,720,12,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo thun polo nam,Informational,720,19,0.10000000149011612,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam chính hãng,Informational,590,59,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nam trung niên,Informational,590,7,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo nỉ nam,Informational,590,10,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần dài thể thao nam,Informational,480,15,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần ngố nam,Informational,480,10,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo nam đẹp,Informational,480,16,0.10000000149011612,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần đùi đen nam,Informational,480,22,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác dù nam,Informational,480,14,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam 2021,Informational,480,16,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam cao cấp nhập khẩu,Informational,480,31,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam mùa đông,Informational,480,60,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nam đẹp nhất hiện nay,Informational,480,44,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nỉ nam,Informational,480,11,0.029999999329447746,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sọt nam cao cấp,Informational,390,15,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
shop áo khoác nam hcm,Informational,390,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác nam công sở,Informational,390,9,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo thu đông nam,Informational,390,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo ấm nam,Informational,390,63,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo khoác nam đẹp 2022,Informational,320,8,0.019999999552965164,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lót nam cao cấp,Informational,320,16,0.09000000357627869,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lót nam lưới,Informational,320,4,0.11999999731779099,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
shop áo khoác nam hàn quốc,Informational,320,16,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo khoác jacket nam,Informational,320,13,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác phao nam,Informational,320,9,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác thể thao nam,Informational,320,37,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao lông vũ nam,Informational,320,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao nam hàng hiệu,Informational,320,7,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ đồ nam,Informational,260,11,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần ngắn nam,Informational,260,15,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sịp nam cao cấp,Informational,260,24,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo gió nam cao cấp,Informational,260,16,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo thu đông nam hàng hiệu,Informational,260,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gió nam hàng hiệu,Informational,260,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác công sở nam,Informational,260,12,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác lông vũ nam,Informational,260,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo lông vũ nam,Informational,260,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao gile nam,Informational,260,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao nam cao cấp,Informational,260,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo polo nam chính hãng,Informational,260,25,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo thun dài tay nam hàng hiệu,Informational,260,8,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo đồng phục nam,Informational,260,28,0.6499999761581421,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
các mẫu áo khoác nam đẹp,Informational,210,46,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần lót nam hàng hiệu,Informational,210,15,0.09000000357627869,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần nỉ nam ống suông,Informational,210,16,0.019999999552965164,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sooc nam hàng hiệu,Informational,210,14,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần xà lỏn nam,Informational,210,20,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
shop áo khoác nam,Commercial,210,30,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo bu dông nam,Informational,210,11,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo lông nam,Informational,210,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo lạnh nam,Informational,210,55,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
các loại quần short nam,Informational,170,9,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo thu đông nam đẹp,Informational,170,8,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần gió nam cao cấp,Informational,170,9,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần gió nam ống suông,Informational,170,9,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần mùa đông nam,Informational,170,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần nỉ nam mùa đông,Informational,170,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần nỉ ống rộng nam,Informational,170,9,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần nỉ ống suông nam,Informational,170,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần short đen,Informational,170,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sịp nam đẹp,Informational,170,19,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần xì nam xịn,"Informational, Transactional",170,11,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo choàng nam,Informational,170,7,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam có mũ,Informational,170,10,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nhung nam,Informational,170,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo nam thương hiệu,Informational,170,41,0.10999999940395355,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phông nam dài tay,Informational,170,8,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo gió nam,Informational,140,10,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
các loại áo khoác nam,Informational,140,12,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo gió nam đẹp,Informational,140,14,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo khoác nam,Informational,140,47,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quan short nam the thao,Informational,140,8,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần cộc nam,Informational,140,9,0.029999999329447746,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần gió thể thao nam,Informational,140,9,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sịp đùi nam,Informational,140,17,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần thể thao nam đẹp,Informational,140,9,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo bộ nam,Informational,140,9,0.11999999731779099,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo mùa đông nam,Informational,140,39,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần áo thu đông nam,Informational,140,10,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
short nam,Informational,140,19,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gile phao nam,Informational,140,11,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo gió nam đẹp,Informational,140,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo jacket nam hàng hiệu,Informational,140,50,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác gió nam cao cấp,Informational,140,16,0.09000000357627869,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác lót lông nam,Informational,140,16,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam công sở cao cấp,Informational,140,11,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam trung niên hàng hiệu,Informational,140,4,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác trần bông nam,Informational,140,11,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác đen nam,Informational,140,31,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác đẹp cho nam,Informational,140,53,0.07999999821186066,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao nam đẹp,Informational,140,10,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phông polo nam,Informational,140,20,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo polo việt nam,Informational,140,18,0.25999999046325684,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo rét nam,Informational,140,59,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
ao khoac nam gia re,Informational,110,33,0.019999999552965164,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
băng đô thể thao nam,Informational,110,6,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo gió nam cao cấp,Informational,110,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo nỉ nam mùa đông,Informational,110,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
các kiểu áo thun nam tay dài đẹp,Informational,110,10,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
các loại áo khoác mùa đông cho nam,Informational,110,58,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
mua áo khoác nam,Informational,110,54,0.11999999731779099,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần lót giấy nam,Informational,110,8,0.019999999552965164,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần short trắng nam,Informational,110,11,0.03999999910593033,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần sọc nam,Informational,110,18,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
quần áo nam mùa đông,Informational,110,18,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
quần đùi trắng nam,Informational,110,10,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
shop quần lót nam,Commercial,110,20,0.6100000143051147,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
xem áo khoác nam,Informational,110,57,0.019999999552965164,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác 2 lớp nam,Informational,110,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác gió nam đẹp,Informational,110,15,0.15000000596046448,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác mỏng nam,Informational,110,13,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam 2 lớp,Informational,110,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam lông vũ,Informational,110,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam thời trang,Informational,110,41,0.07000000029802322,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam trẻ trung,Informational,110,48,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nam đà nẵng,Commercial,110,14,0.05999999865889549,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Commercial investigation,—
áo khoác nỉ nam cao cấp,Informational,110,15,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác nỉ nam có mũ,Informational,110,13,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác thu đông nam,Informational,110,33,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác thun nam,Informational,110,44,0.05000000074505806,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác trung niên nam,Informational,110,10,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo khoác việt nam,Informational,110,8,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo nhung nam,Informational,110,14,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao dài nam,Informational,110,16,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
áo phao mùa đông nam,Informational,110,8,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Transactional,—
áo phông dài tay nam,Informational,110,8,0.029999999329447746,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
bộ quần áo nỉ nam,Informational,90,9,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo khoác nam đẹp,Informational,90,44,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
mẫu áo khoác đẹp nam,Informational,90,47,0,0,,Cần review,Athleisure & outfit,Chọn đồ nam,Informational,—
